block,arm,valid,n_samples,published,suppressed,reorder,lost_datagrams,loss_pct,dup_first,undelivered,shm_p50,wire_p50,rx_delivery_p50,rx_delivery_p99,e2e_p50,e2e_p99,e2e_p999,e2e_p9999,finished_at,elapsed_s,note
1,base,1,1983616,6257870,2275851,0,126616,1.9878,1,126932,906,14567,,,15906,33243,61567,111963,1788094557,99,ok
1,ours,1,1983616,6256811,1902365,0,0,0.0,0,0,515,21142,,,22122,42261,65830,124257,1788094657,99,ok
2,ours,1,1983616,6254264,1928112,0,0,0.0,0,0,643,20096,,,21162,54622,275227,594435,1788094756,99,ok
2,base,1,1983616,6258255,2280102,0,126219,1.9808,0,126463,905,20594,,,21552,41671,69296,145993,1788094856,100,ok
3,base,1,1983616,6259254,2254299,0,125323,1.9671,0,125593,908,18117,,,19293,36896,60959,143813,1788094956,100,ok
3,ours,1,1983616,6257051,1895742,0,0,0.0,0,0,566,17358,,,18381,34956,58649,102933,1788095055,99,ok
4,ours,1,1983616,6255896,1925026,0,955,0.0153,2,956,568,19692,,,20749,40616,65545,131125,1788095155,100,ok
4,base,1,1983616,6258760,2254169,0,125051,1.963,0,125353,906,20225,,,21546,38862,61149,101185,1788095254,99,ok
