block,arm,valid,n_samples,published,suppressed,reorder,lost_datagrams,loss_pct,dup_first,undelivered,shm_p50,wire_p50,rx_delivery_p50,rx_delivery_p99,e2e_p50,e2e_p99,e2e_p999,e2e_p9999,finished_at,elapsed_s,note
1,base,1,1983616,3706058,3705604,0,48737,1.298,1,48738,300,12991,,,13650,23829,44392,90633,1788093721,104,ok
1,ours,1,1983616,3701954,1231092,0,0,0.0,0,0,300,13555,,,14273,22374,40867,980075,1788093827,106,ok
2,ours,1,1983616,3701518,1231929,0,0,0.0,0,0,300,14391,,,14973,24044,49558,455370,1788093931,104,ok
2,base,1,1983616,3704782,3703877,0,48718,1.298,1,48718,300,12576,,,13131,22724,52346,2181155,1788094036,104,ok
3,base,1,1983616,3704905,3701561,0,48757,1.299,3,48760,300,13154,,,13791,24210,45004,110427,1788094140,104,ok
3,ours,1,1983616,3701576,1233704,0,143,0.0039,0,143,300,10960,,,11543,21739,43064,2883783,1788094245,105,ok
4,ours,1,1983616,3704212,1234097,0,0,0.0,0,0,300,9294,,,9861,16974,30094,54871,1788094349,104,ok
4,base,1,1983616,3706869,3702458,0,48211,1.284,1,48211,300,9216,,,9868,21383,46458,3412945,1788094454,105,ok
