block,arm,valid,n_samples,published,suppressed,reorder,lost_datagrams,loss_pct,dup_first,undelivered,shm_p50,wire_p50,rx_delivery_p50,rx_delivery_p99,e2e_p50,e2e_p99,e2e_p999,e2e_p9999,finished_at,elapsed_s,note
1,base,1,1983616,2855025,2854909,0,21954,0.7631,0,21954,301,9413,,,10039,16861,30097,1551483,1788092830,112,ok
1,ours,1,1983616,2851016,950333,0,0,0.0,0,0,300,8136,,,8765,14569,24508,50247,1788092942,112,ok
2,ours,1,1983616,2850567,950185,0,0,0.0,0,0,301,15128,,,15730,21341,31153,50802,1788093055,113,ok
2,base,1,1983616,2854174,2854141,0,22204,0.7719,1,22204,305,15568,,,16224,23561,37588,831959,1788093167,112,ok
3,base,1,1983616,2854180,2854174,0,22020,0.7656,1,22022,301,15477,,,16067,22604,34872,58600,1788093279,112,ok
3,ours,1,1983616,2850403,950117,0,0,0.0,1,0,307,12231,,,12765,18487,27939,45142,1788093391,112,ok
4,ours,1,1983616,2850911,950279,0,0,0.0,0,0,301,11516,,,12157,17914,29651,1011560,1788093504,112,ok
4,base,1,1983616,2854178,2854109,0,22042,0.7664,0,22042,301,12158,,,12847,20717,37574,2336047,1788093616,112,ok
