block,arm,valid,n_samples,published,suppressed,reorder,lost_datagrams,loss_pct,dup_first,undelivered,shm_p50,wire_p50,rx_delivery_p50,rx_delivery_p99,e2e_p50,e2e_p99,e2e_p999,e2e_p9999,finished_at,elapsed_s,note
1,udp,1,1983616,3709664,0,0,44400,1.1827,0,44400,305,8829,,,9678,16688,31736,58183,1788034358,105,ok
1,iouring,1,1983616,3710194,0,0,43545,1.1601,0,43545,304,8595,,,9177,14642,26621,53613,1788034462,104,ok
2,iouring,1,1983616,3709122,0,0,43476,1.1586,0,43477,305,7402,,,8079,17389,51289,662305,1788034567,105,ok
2,udp,1,1983616,3709213,0,0,43247,1.1525,0,43247,305,7064,,,7746,14069,25852,51397,1788034671,104,ok
3,udp,1,1983616,3709479,0,0,43664,1.1634,0,43664,304,5203,,,5760,11826,24210,48955,1788034775,104,ok
3,iouring,1,1983616,3708748,0,0,43845,1.1684,0,43845,305,3329,,,3940,10851,27287,496619,1788034880,105,ok
4,iouring,1,1983616,3707987,0,0,43881,1.1696,0,43881,303,10630,,,11775,17782,29807,53681,1788034984,104,ok
4,udp,1,1983616,3708246,0,0,44197,1.1779,0,44197,305,11419,,,12079,18520,36014,1514194,1788035088,104,ok
