config,send,recv,runs,samples,min,p50,p50_lo,p50_hi,p90,p90_lo,p90_hi,p99,p99_lo,p99_hi,p99.9,p99.9_lo,p99.9_hi,p99.99,p99.99_lo,p99.99_hi,p99.999,p99.999_lo,p99.999_hi,max,max_lo,max_hi,skew_p50,skew_p99,drop_pct
udp+udp,udp,udp,30,3983616,30840,44147,43754,44717,50441,50039,50990,55056,54607,55594,66388,65433,68063,744760,509795,1398568,11588072,963427,14045018,14972393,1185411,14972393,9655,9651,0.0
iouring+udp,iouring,udp,30,3983616,26886,41151,39869,42246,47887,46321,48709,55438,53862,56221,67371,65889,68933,429972,134340,940753,11676585,854378,14242686,15401553,1085968,15401553,12074,16053,0.0
sqpoll+udp,iouring-sqpoll,udp,30,3983616,29285,42059,41718,42666,47987,47629,48590,52579,52105,53186,63214,62042,64567,243545,97812,872363,14960617,838994,16565548,18366832,1335865,18366832,8026,6893,0.004082
udp+iouring,udp,iouring,30,3983616,35219,74730,71941,78429,96089,92931,99520,125687,117737,131249,287977,268012,319255,1883403,970926,3527546,11938441,1330491,15851556,17790694,1400515,17790694,13989,64624,0.000792
iouring+iouring,iouring,iouring,30,3983616,34710,73021,72050,74029,93696,92717,94630,121461,118568,123596,298630,287412,310813,3597933,2168473,4190815,12057378,5623273,15962682,17914039,6046930,17914039,11345,60908,0.007335
