rep,position,fraction,latency_ns,outlier
2,1419113,0.071014,534608,1
2,1419114,0.071014,561103,1
2,1419115,0.071014,556594,1
2,1419116,0.071014,552081,1
2,1419117,0.071014,547537,1
2,1419118,0.071014,543061,1
2,1419119,0.071014,538292,1
2,1419120,0.071014,533721,1
2,1419121,0.071014,529226,1
2,1419122,0.071014,524648,1
2,1419123,0.071014,520217,1
2,1419124,0.071014,515694,1
2,1419125,0.071014,511053,1
2,1419126,0.071014,506386,1
2,1419127,0.071015,501983,1
2,1419128,0.071015,497443,1
2,1419129,0.071015,492882,1
2,1419130,0.071015,488252,1
2,1419131,0.071015,483585,1
2,1419132,0.071015,478927,1
2,1419133,0.071015,474532,1
2,1419134,0.071015,469941,1
2,1419135,0.071015,465481,1
2,1419136,0.071015,460867,1
2,1419137,0.071015,456391,1
2,1419138,0.071015,451687,1
2,1419139,0.071015,447099,1
2,1419140,0.071015,442489,1
2,1419141,0.071015,437950,1
2,1419142,0.071015,433407,1
2,1419143,0.071015,428771,1
2,1419144,0.071015,424089,1
2,1419145,0.071015,419562,1
2,1419146,0.071015,415034,1
2,1419147,0.071016,410311,1
2,1419148,0.071016,405768,1
2,1419149,0.071016,401232,1
2,1419150,0.071016,396535,1
2,1419151,0.071016,392129,1
2,1419152,0.071016,451237,1
2,1419153,0.071016,446820,1
2,1419154,0.071016,442221,1
2,1419155,0.071016,437623,1
2,1419156,0.071016,432908,1
2,1419157,0.071016,428542,1
2,1419158,0.071016,423990,1
2,1419159,0.071016,419542,1
2,1419160,0.071016,415069,1
2,1419161,0.071016,410625,1
2,1419162,0.071016,405987,1
2,1419163,0.071016,401358,1
2,1419164,0.071016,396772,1
2,1419165,0.071016,392286,1
2,1419166,0.071016,387643,1
2,1419167,0.071017,382995,1
2,1419168,0.071017,378305,1
2,1419169,0.071017,373815,1
2,1419170,0.071017,369228,1
2,1419171,0.071017,364789,1
2,1419172,0.071017,360236,1
2,1419173,0.071017,355547,1
2,1419174,0.071017,350976,1
2,1419175,0.071017,346498,1
2,1419176,0.071017,342044,1
2,1419177,0.071017,337534,1
2,1419178,0.071017,332945,1
2,1419179,0.071017,328373,1
2,1419180,0.071017,323856,1
2,1419181,0.071017,319388,1
2,1419182,0.071017,314841,1
2,1419183,0.071017,310290,1
2,1419184,0.071017,305784,1
2,1419185,0.071017,301166,1
2,1419186,0.071017,296549,1
2,1419187,0.071018,291935,1
2,1419188,0.071018,287399,1
2,1419189,0.071018,282854,1
2,1419190,0.071018,278342,1
2,1419191,0.071018,273707,1
2,1419192,0.071018,269002,1
2,1419193,0.071018,264538,1
2,1419194,0.071018,260170,1
2,1419195,0.071018,255715,1
2,1419196,0.071018,251169,1
2,1419197,0.071018,246518,1
2,1419198,0.071018,241937,1
2,1419199,0.071018,237447,1
2,1419200,0.071018,232949,1
2,1419201,0.071018,228426,1
2,1419202,0.071018,223830,1
2,1419203,0.071018,219403,1
2,1419204,0.071018,214878,1
2,1419205,0.071018,210184,1
2,1419206,0.071018,205892,1
2,1419207,0.071019,201275,1
2,1419208,0.071019,196678,1
2,1419209,0.071019,192224,1
2,1419210,0.071019,187680,1
2,1419211,0.071019,183043,1
2,1419212,0.071019,178592,1
2,1419213,0.071019,174116,1
2,1419214,0.071019,169474,1
2,1419215,0.071019,164871,1
2,1419216,0.071019,160260,1
2,1419217,0.071019,155450,1
2,1419218,0.071019,150876,1
2,1419219,0.071019,146256,1
2,1419220,0.071019,141629,1
2,1419221,0.071019,137036,1
2,1419222,0.071019,132399,1
2,1419223,0.071019,127885,1
2,1419224,0.071019,123354,1
2,1419225,0.071019,118750,1
2,1419226,0.071019,114217,1
2,1419227,0.07102,109696,1
2,1419228,0.07102,105110,1
2,1419229,0.07102,100406,1
2,1419230,0.07102,95863,1
2,1419231,0.07102,91399,1
2,1419232,0.07102,86849,1
2,1419233,0.07102,82330,1
2,1419234,0.07102,77697,1
2,1419235,0.07102,73382,1
2,1419236,0.07102,69184,1
2,1419237,0.07102,64915,1
2,1419238,0.07102,66343,1
2,1423402,0.071228,36391,0
2,1431399,0.071629,36095,0
2,1433777,0.071748,64990,1
2,1439396,0.072029,35132,0
2,1447392,0.072429,35336,0
2,1455389,0.072829,35059,0
2,1463385,0.073229,35260,0
2,1464132,0.073267,69560,1
2,1464133,0.073267,66036,1
2,1464134,0.073267,64646,1
2,1464135,0.073267,67307,1
2,1471382,0.073629,34318,0
2,1479379,0.07403,35146,0
2,1487375,0.07443,34563,0
2,1495372,0.07483,34694,0
2,1503369,0.07523,33964,0
2,1511365,0.07563,34680,0
2,1519362,0.07603,35016,0
2,1523556,0.07624,64915,1
2,1523557,0.07624,67242,1
2,1523558,0.07624,72713,1
2,1523559,0.07624,71394,1
2,1523560,0.07624,71066,1
2,1523561,0.076241,70104,1
2,1523562,0.076241,73019,1
2,1523563,0.076241,68454,1
2,1523564,0.076241,63837,1
2,1527359,0.076431,34359,0
2,1535355,0.076831,36770,0
2,1543352,0.077231,36350,0
2,1551349,0.077631,36981,0
2,1551510,0.077639,66757,1
2,1559345,0.078031,35219,0
2,1560414,0.078085,65387,1
2,1567342,0.078431,37012,0
