mode,runs,samples,min,p50,p50_lo,p50_hi,p90,p90_lo,p90_hi,p99,p99_lo,p99_hi,p99.9,p99.9_lo,p99.9_hi,p99.99,p99.99_lo,p99.99_hi,p99.999,p99.999_lo,p99.999_hi,max,max_lo,max_hi
spin,3,9983616,33286,58965,58867,59304,76297,76222,76598,82893,82719,82952,184721,183476,213412,644182,640096,2273599,867923,863301,6089894,991237,952988,6446627
busy-poll,3,9983616,32312,34521,34505,34792,36051,36039,36314,39194,38978,39270,54517,53727,55435,667503,559567,668709,1096806,954471,1691035,1330314,1277880,2066444
