config,shm_p50,publish_p50,rx_delivery_p50,rx_delivery_p99,rx_delivery_p999,e2e_p50,e2e_p99,e2e_p999,queue_high_water,queue_slots,suppressed
single-threaded,284,52,929,2058,6770,31817,37973,47851,,,0
split-poll,281,505,901,2236,9734,31810,38956,62996,4,8192,0
