config,rate,receivers,pps,shm_p50,wire_p50,wire_p99,wire_p999,wire_p9999,rx_delivery_p50,rx_delivery_p99,rx_delivery_p999,e2e_p50,e2e_p99,e2e_p999,e2e_p9999,e2e_max,e2e_p9999_lo,e2e_p9999_hi,published,suppressed
single-path,200000,1,200000,282,32498,38209,58034,931940,922,1883,9369,33071,38788,57832,921223,1257019,780129,1062317,8240268,0
dual-path,200000,1,400000,278,35870,44697,57695,159937,947,7543,12807,36374,45159,58122,159146,496335,153650,164642,8250344,8248791
